,Year,Age,AgeDif,Tm,Lg,Lev,Aff,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,TB,GDP,HBP,SH,SF,IBB,PlayerID,Rookie_Season,Rookie_rOBA
4,1994,22,0.3,Appleton,MIDW,A,SEA,91,363,327,55,102,30,3,7,59,10,5,32,37,.312,.375,.486,.861,159,3,2,0,2,3,ibanera01,1999.0,0.339
5,1995,23,0.2,Riverside,CALL,A+,SEA,95,414,361,59,120,23,9,20,108,4,3,41,49,.332,.395,.612,1.007,221,7,2,1,9,1,ibanera01,1999.0,0.339
7,1996,24,-2.2,Tacoma,PCL,AAA,SEA,111,456,405,59,115,20,3,11,47,7,7,44,56,.284,.353,.430,.783,174,4,2,0,5,2,ibanera01,1999.0,0.339
8,1996,24,0.1,Port City,SOUL,AA,SEA,19,85,76,12,28,8,1,1,13,3,2,8,7,.368,.424,.539,.963,41,1,0,0,1,1,ibanera01,1999.0,0.339
10,1997,25,-1.5,Tacoma,PCL,AAA,SEA,111,478,438,84,133,30,5,15,84,7,5,32,75,.304,.349,.498,.847,218,12,1,3,4,1,ibanera01,1999.0,0.339
12,1998,26,-0.7,Tacoma,PCL,AAA,SEA,52,216,190,24,41,8,1,6,25,1,1,24,47,.216,.301,.363,.664,69,3,0,0,2,2,ibanera01,1999.0,0.339
0,1990,20,0.5,Elizabethton,APPY,Rk,MIN,14,54,45,7,10,1,0,1,6,1,0,9,3,.222,.352,.311,.663,14,,0,0,0,0,milleda02,1998.0,0.348
1,1991,21,-0.4,Kenosha,MIDW,A,MIN,80,298,267,28,62,11,1,3,34,3,2,24,53,.232,.297,.315,.612,84,4,2,2,3,1,milleda02,1998.0,0.348
2,1992,22,0.5,Kenosha,MIDW,A,MIN,115,443,377,53,110,27,2,5,56,6,1,53,66,.292,.385,.414,.799,156,13,7,2,4,1,milleda02,1998.0,0.348
4,1993,23,-0.6,Nashville,SOUL,AA,MIN,4,15,13,0,3,0,0,0,0,0,0,2,4,.231,.333,.231,.564,3,0,0,0,0,0,milleda02,1998.0,0.348
5,1993,23,0.7,Fort Myers,FLOR,A+,MIN,87,357,325,31,69,12,1,1,26,6,3,31,44,.212,.281,.265,.546,86,5,0,1,0,0,milleda02,1998.0,0.348
6,1994,24,0.1,Nashville,SOUL,AA,MIN,103,371,328,36,88,10,0,8,35,4,6,35,51,.268,.336,.372,.708,122,11,1,2,5,2,milleda02,1998.0,0.348
7,1995,25,-1.5,Salt Lake,PCL,AAA,MIN,83,320,295,39,84,23,1,3,41,2,4,15,39,.285,.324,.400,.724,118,11,3,5,2,1,milleda02,1998.0,0.348
8,1996,26,-0.2,Salt Lake,PCL,AAA,MIN,104,422,385,54,110,27,1,7,55,1,4,25,58,.286,.336,.416,.751,160,13,6,2,4,2,milleda02,1998.0,0.348
9,1997,27,0.5,Salt Lake,PCL,AAA,MIN,85,350,314,48,106,19,3,11,82,6,1,29,62,.338,.395,.522,.918,164,7,3,1,3,0,milleda02,1998.0,0.348
1,1995,21,-1.8,Lake Elsinore,CALL,A+,CAL,25,120,113,24,41,7,3,5,24,3,0,6,22,.363,.392,.611,1.002,69,2,0,0,1,0,erstada01,1996.0,0.319
2,1995,21,1.8,Angels,ARIZ,Rk,CAL,4,19,18,2,10,1,0,0,1,1,0,1,1,.556,.579,.611,1.190,11,0,0,0,0,0,erstada01,1996.0,0.319
0,1994,20,-1.0,Oneonta,NYPL,A-,NYY,50,209,177,28,40,9,2,4,26,5,3,24,53,.226,.335,.367,.702,65,2,6,0,2,2,buchabr01,2001.0,0.356
1,1995,21,-0.3,Greensboro,SALL,A,NYY,23,106,96,19,29,3,0,3,12,7,1,9,17,.302,.368,.427,.795,41,1,1,0,0,1,buchabr01,2001.0,0.356
2,1996,22,-0.3,Tampa,FLOR,A+,NYY,131,575,526,65,137,22,4,10,58,23,8,37,108,.260,.321,.375,.695,197,14,10,1,1,6,buchabr01,2001.0,0.356
4,1997,23,-3.2,Columbus,IL,AAA,NYY,18,70,61,8,17,1,0,4,7,2,1,4,11,.279,.348,.492,.840,30,3,3,1,1,0,buchabr01,2001.0,0.356
5,1997,23,-0.8,Norwich,EL,AA,NYY,116,519,470,75,145,25,2,10,69,11,9,32,85,.309,.362,.434,.796,204,11,11,0,6,0,buchabr01,2001.0,0.356
6,1998,24,-2.7,Salt Lake,PCL,AAA,MIN,133,547,500,74,139,29,3,17,82,14,2,36,90,.278,.337,.450,.787,225,7,9,1,1,1,buchabr01,2001.0,0.356
7,1999,25,-1.9,Salt Lake,PCL,AAA,MIN,107,431,391,67,116,24,1,10,60,11,2,28,85,.297,.355,.440,.795,172,14,9,0,3,0,buchabr01,2001.0,0.356
8,2000,26,-0.9,Salt Lake,PCL,AAA,MIN,95,419,364,82,108,20,1,27,103,5,1,41,75,.297,.363,.580,.942,211,16,3,0,11,1,buchabr01,2001.0,0.356
0,1996,18,-0.9,Yankees,GULF,Rk,NYY,42,187,170,37,50,8,2,1,21,7,6,10,31,.294,.341,.382,.723,65,2,3,2,2,0,guzmacr01,1999.0,0.255
2,1997,19,-3.6,Tampa,FLOR,A+,NYY,4,15,14,4,4,0,0,0,1,0,1,1,1,.286,.333,.286,.619,4,0,0,0,0,0,guzmacr01,1999.0,0.255
3,1997,19,-2.5,Greensboro,SALL,A,NYY,124,528,495,68,135,21,4,4,52,23,12,17,105,.273,.309,.356,.665,176,3,10,4,2,0,guzmacr01,1999.0,0.255
4,1998,20,-3.8,New Britain,EL,AA,MIN,140,606,566,68,157,29,5,1,40,23,14,21,111,.277,.304,.352,.655,199,13,1,17,1,1,guzmacr01,1999.0,0.255
0,1994,21,0.0,Vermont,NYPL,A-,MON,63,279,241,48,83,15,1,3,38,5,5,33,21,.344,.428,.452,.880,109,4,3,1,1,0,blumge01,1999.0,0.363
1,1995,22,-0.3,West Palm Beach,FLOR,A+,MON,125,502,457,54,120,20,2,1,62,6,5,34,61,.263,.313,.322,.635,147,12,3,1,7,1,blumge01,1999.0,0.363
2,1996,23,-0.8,Harrisburg,EL,AA,MON,120,472,396,47,95,22,2,1,41,6,7,59,51,.240,.341,.313,.654,124,11,3,11,3,2,blumge01,1999.0,0.363
3,1997,24,-2.2,Ottawa,IL,AAA,MON,118,480,407,59,101,21,2,3,35,14,6,52,73,.248,.333,.332,.665,135,6,3,12,6,1,blumge01,1999.0,0.363
5,1998,25,-1.3,Ottawa,IL,AAA,MON,8,27,23,1,4,0,0,0,1,0,0,3,6,.174,.269,.174,.443,4,0,0,1,0,0,blumge01,1999.0,0.363
6,1998,25,1.2,Harrisburg,EL,AA,MON,39,162,139,25,43,12,3,6,21,2,1,17,24,.309,.400,.568,.968,79,3,4,2,0,0,blumge01,1999.0,0.363
7,1998,25,2.5,Jupiter,FLOR,A+,MON,17,75,58,13,16,6,0,0,5,1,0,13,14,.276,.411,.379,.790,22,0,1,2,1,1,blumge01,1999.0,0.363
8,1998,25,5.7,Expos,GULF,Rk,MON,5,19,18,0,3,1,1,0,1,0,0,1,4,.167,.211,.333,.544,6,0,0,0,0,0,blumge01,1999.0,0.363
0,1990,18,-1.2,Expos,GULF,Rk,MON,57,243,221,33,66,7,4,5,34,10,7,17,33,.299,.362,.434,.797,96,,5,0,0,0,whitero02,1994.0,0.368
1,1991,19,-1.9,Sumter,SALL,A,MON,123,534,465,80,122,23,6,13,68,50,17,57,109,.262,.349,.422,.770,196,8,7,1,4,3,whitero02,1994.0,0.368
3,1992,20,-3.7,Harrisburg,EL,AA,MON,21,99,89,22,27,7,1,2,7,6,1,6,14,.303,.374,.472,.846,42,3,4,0,0,0,whitero02,1994.0,0.368
4,1992,20,-2.2,West Palm Beach,FLOR,A+,MON,111,505,450,80,142,10,12,4,41,42,16,46,78,.316,.384,.418,.802,188,7,5,3,1,4,whitero02,1994.0,0.368
6,1993,21,-5.0,Ottawa,IL,AAA,MON,37,165,150,28,57,8,2,7,32,10,1,12,20,.380,.436,.600,1.036,90,4,3,0,0,1,whitero02,1994.0,0.368
7,1993,21,-2.6,Harrisburg,EL,AA,MON,90,402,372,72,122,16,10,12,52,21,6,22,72,.328,.371,.522,.892,194,3,5,0,3,1,whitero02,1994.0,0.368
0,1991,17,-2.4,Mariners,ARIZ,Rk,SEA,46,192,163,36,44,7,3,0,18,17,2,22,24,.270,.351,.350,.700,57,0,1,1,5,1,relafde01,1998.0,0.291
1,1992,18,-4.1,Peninsula,CARL,A+,SEA,130,495,445,53,96,18,1,3,34,27,7,39,88,.216,.277,.281,.558,125,7,1,4,6,1,relafde01,1998.0,0.291
2,1993,19,-4.6,Jacksonville,SOUL,AA,SEA,133,539,472,49,115,16,4,8,47,16,12,50,103,.244,.323,.345,.668,163,4,7,6,4,1,relafde01,1998.0,0.291
4,1994,20,-3.9,Jacksonville,SOUL,AA,SEA,37,169,143,24,29,7,3,3,11,10,1,22,28,.203,.305,.357,.662,51,2,0,2,2,0,relafde01,1998.0,0.291
5,1994,20,-2.6,Riverside,CALL,A+,SEA,99,465,374,95,116,27,5,5,59,27,6,78,78,.310,.429,.449,.878,168,7,4,3,6,6,relafde01,1998.0,0.291
7,1995,21,-5.5,Tacoma,PCL,AAA,SEA,30,128,113,20,27,5,1,2,7,6,0,13,24,.239,.313,.354,.666,40,2,0,0,2,2,relafde01,1998.0,0.291
8,1995,21,-3.0,Port City,SOUL,AA,SEA,90,397,352,51,101,11,2,7,27,25,9,41,58,.287,.365,.389,.754,137,4,2,2,0,2,relafde01,1998.0,0.291
10,1996,22,-4.2,Tacoma,PCL,AAA,SEA,93,348,317,27,65,12,0,4,32,10,6,23,58,.205,.259,.281,.539,89,7,1,4,3,0,relafde01,1998.0,0.291
11,1996,22,-4.5,Scranton/Wilkes-Barre,IL,AAA,PHI,21,96,85,12,20,4,1,1,11,7,1,8,19,.235,.305,.341,.646,29,0,1,1,1,0,relafde01,1998.0,0.291
13,1997,23,-3.2,Scranton/Wilkes-Barre,IL,AAA,PHI,131,576,517,82,138,34,4,9,53,29,8,43,77,.267,.329,.400,.729,207,12,7,4,5,0,relafde01,1998.0,0.291
0,1996,22,1.1,Jamestown,NYPL,A-,DET,43,147,133,18,33,6,0,1,14,3,1,12,25,.248,.306,.316,.622,42,4,0,0,2,1,fickro01,2000.0,0.328
1,1997,23,1.4,West Michigan,MIDW,A,DET,122,546,463,100,158,50,3,16,90,13,4,75,74,.341,.429,.566,.994,262,10,1,0,7,11,fickro01,2000.0,0.328
2,1998,24,0.0,Jacksonville,SOUL,AA,DET,130,601,515,101,164,47,6,18,114,8,4,71,83,.318,.401,.538,.939,277,8,6,0,9,6,fickro01,2000.0,0.328
5,1999,25,-1.9,Toledo,IL,AAA,DET,14,58,48,11,15,0,1,2,8,1,0,8,5,.313,.414,.479,.893,23,0,1,0,1,0,fickro01,2000.0,0.328
6,1999,25,3.4,West Michigan,MIDW,A,DET,3,13,11,2,3,0,0,0,0,1,0,2,0,.273,.385,.273,.657,3,0,0,0,0,0,fickro01,2000.0,0.328
7,1999,25,5.8,Tigers,GULF,Rk,DET,3,11,9,2,3,1,0,0,2,1,0,2,0,.333,.455,.444,.899,4,0,0,0,0,0,fickro01,2000.0,0.328
0,1983,20,-1.3,Columbia,SALL,A,NYM,64,274,220,41,74,13,1,3,32,2,2,51,29,.336,.462,.445,.907,98,,1,1,1,2,magadda01,1987.0,0.366
1,1984,21,-1.2,Lynchburg,CARL,A,NYM,112,486,371,78,130,22,4,0,62,2,1,104,43,.350,.494,.431,.925,160,,6,0,5,10,magadda01,1987.0,0.366
2,1985,22,-1.4,Jackson,TL,AA,NYM,134,582,466,84,144,22,0,0,76,0,3,106,57,.309,.441,.356,.797,166,,5,4,1,2,magadda01,1987.0,0.366
3,1986,23,-2.6,Tidewater,IL,AAA,NYM,133,571,473,68,147,33,6,1,64,2,2,84,45,.311,.411,.412,.824,195,,3,2,9,5,magadda01,1987.0,0.366
0,1981,18,-2.2,Idaho Falls,PION,Rk,CAL,30,118,106,10,19,2,0,0,10,4,2,12,34,.179,.263,.198,.461,21,,0,0,0,0,whitede03,1987.0,0.346
1,1982,19,-2.6,Danville,MIDW,A,CAL,57,198,186,21,40,6,1,1,11,11,0,11,45,.215,.259,.274,.533,51,,0,1,0,0,whitede03,1987.0,0.346
3,1983,20,-3.0,Nashua,EL,AA,CAL,17,79,70,11,18,7,2,0,2,5,1,7,22,.257,.329,.414,.743,29,,1,0,1,0,whitede03,1987.0,0.346
4,1983,20,-1.5,Peoria,MIDW,A,CAL,117,487,430,69,109,17,6,13,66,32,15,36,124,.253,.326,.412,.738,177,,12,6,3,5,whitede03,1987.0,0.346
5,1984,21,-1.5,Redwood,CALL,A,CAL,138,609,520,101,147,25,5,7,55,36,12,56,118,.283,.361,.390,.752,203,,11,17,5,1,whitede03,1987.0,0.346
7,1985,22,-3.3,Edmonton,PCL,AAA,CAL,66,309,277,53,70,16,5,4,39,21,9,24,77,.253,.318,.390,.708,108,,4,1,3,0,whitede03,1987.0,0.346
8,1985,22,-1.4,Midland,TL,AA,CAL,70,310,260,52,77,10,4,4,35,38,8,35,46,.296,.384,.412,.796,107,,6,3,6,2,whitede03,1987.0,0.346
10,1986,23,-2.5,Edmonton,PCL,AAA,CAL,112,497,461,84,134,25,10,14,60,42,12,31,90,.291,.339,.479,.818,221,,3,1,1,8,whitede03,1987.0,0.346
1,1989,20,-1.9,Kenosha,MIDW,A,MIN,51,231,196,29,56,13,1,2,19,9,7,32,23,.286,.387,.393,.780,77,5,1,1,1,0,knoblch01,1991.0,0.337
2,1989,20,-2.4,Visalia,CALL,A,MIN,18,86,77,20,28,10,0,0,21,4,0,6,11,.364,.412,.494,.905,38,,1,1,1,0,knoblch01,1991.0,0.337
3,1990,21,-2.5,Orlando,SOUL,AA,MIN,118,509,432,74,125,23,6,2,53,23,7,63,31,.289,.389,.384,.773,166,,9,2,3,0,knoblch01,1991.0,0.337
0,1987,20,-0.9,Medford,NORW,A-,OAK,45,188,168,23,58,10,2,1,26,1,1,19,22,.345,.410,.446,.856,75,,0,0,1,0,coomero01,1996.0,0.371
1,1988,21,-1.9,Modesto,CALL,A,OAK,131,566,495,67,138,23,2,17,85,2,6,60,88,.279,.357,.436,.793,216,16,3,3,5,0,coomero01,1996.0,0.371
2,1989,22,0.1,Madison,MIDW,A,OAK,61,247,216,28,69,15,0,4,28,0,1,30,34,.319,.401,.444,.845,96,4,0,0,1,1,coomero01,1996.0,0.371
3,1990,23,-0.5,Huntsville,SOUL,AA,OAK,66,223,194,22,43,7,0,3,27,3,1,21,40,.222,.297,.304,.601,59,,1,4,3,1,coomero01,1996.0,0.371
4,1991,24,0.3,Birmingham,SOUL,AA,CHW,137,579,505,81,129,27,5,13,76,0,3,59,78,.255,.330,.406,.736,205,21,1,6,8,1,coomero01,1996.0,0.371
5,1992,25,-1.5,Vancouver,PCL,AAA,CHW,86,285,262,29,62,10,0,9,40,3,0,16,36,.237,.277,.378,.654,99,14,0,3,4,3,coomero01,1996.0,0.371
7,1993,26,-1.2,Nashville,AA,AAA,CHW,59,225,211,34,66,19,0,13,51,1,2,10,29,.313,.342,.588,.930,124,5,1,0,3,1,coomero01,1996.0,0.371
8,1993,26,2.4,Birmingham,SOUL,AA,CHW,69,279,262,44,85,18,0,13,50,1,1,15,43,.324,.358,.542,.900,142,8,0,0,2,3,coomero01,1996.0,0.371
9,1994,27,0.8,Albuquerque,PCL,AAA,LAD,127,570,535,89,181,34,6,22,123,4,3,26,62,.338,.367,.548,.914,293,12,2,0,7,4,coomero01,1996.0,0.371
10,1995,28,1.5,Albuquerque,PCL,AAA,LAD,85,347,323,54,104,23,2,16,76,5,2,18,28,.322,.357,.554,.912,179,16,2,0,4,1,coomero01,1996.0,0.371
0,1989,19,-0.6,Kingsport,APPY,Rk,NYM,69,262,226,45,74,15,0,9,38,10,6,30,26,.327,.405,.513,.919,116,,1,3,2,1,fordybr01,1998.0,0.306
1,1990,20,-1.2,Columbia,SALL,A,NYM,104,414,372,45,117,29,1,10,54,4,1,39,42,.315,.378,.478,.856,178,,0,1,2,0,fordybr01,1998.0,0.306
2,1991,21,-1.3,St. Lucie,FLOR,A+,NYM,115,453,406,42,97,19,3,7,55,4,5,37,50,.239,.305,.352,.657,143,7,4,0,6,2,fordybr01,1998.0,0.306
3,1992,22,-1.7,Binghamton,EL,AA,NYM,118,475,425,59,118,30,0,11,61,1,2,37,78,.278,.337,.426,.763,181,13,4,3,6,1,fordybr01,1998.0,0.306
4,1993,23,-3.0,Norfolk,IL,AAA,NYM,116,449,409,33,106,21,2,2,41,2,2,26,62,.259,.307,.335,.642,137,10,5,3,6,3,fordybr01,1998.0,0.306
5,1994,24,-1.9,Norfolk,IL,AAA,NYM,66,252,229,26,60,13,3,3,32,1,0,19,26,.262,.320,.384,.704,88,9,1,2,1,1,fordybr01,1998.0,0.306
6,1995,25,-2.0,Buffalo,AA,AAA,CLE,58,195,176,18,44,13,0,0,9,1,0,14,20,.250,.313,.324,.636,57,2,2,3,0,0,fordybr01,1998.0,0.306
8,1996,26,-0.3,Indianapolis,AA,AAA,CIN,107,405,374,48,103,20,3,16,64,2,1,25,56,.275,.319,.473,.793,177,5,1,1,4,3,fordybr01,1998.0,0.306
10,1997,27,1.0,Indianapolis,AA,AAA,CIN,12,53,47,7,11,2,0,2,6,1,1,5,6,.234,.321,.404,.725,19,3,1,0,0,0,fordybr01,1998.0,0.306
0,1992,21,0.1,Niagara Falls,NYPL,A-,DET,70,268,232,35,68,17,4,2,37,12,8,33,47,.293,.383,.427,.810,99,4,1,2,0,0,higgibo02,1995.0,0.33
2,1993,22,-1.6,London,EL,AA,DET,63,246,224,25,69,15,4,4,35,3,4,19,37,.308,.358,.464,.822,104,6,0,0,3,0,higgibo02,1995.0,0.33
3,1993,22,-0.3,Lakeland,FLOR,A+,DET,61,268,223,42,67,11,7,3,25,8,3,40,31,.300,.406,.453,.859,101,6,1,2,2,1,higgibo02,1995.0,0.33
4,1994,23,-2.9,Toledo,IL,AAA,DET,137,530,476,81,131,28,3,23,67,16,8,46,99,.275,.343,.492,.835,234,9,5,0,3,3,higgibo02,1995.0,0.33
0,1995,21,-0.1,Batavia,NYPL,A-,PHI,74,337,312,52,92,13,4,3,40,22,8,15,20,.295,.331,.391,.722,122,2,4,2,4,2,anderma02,1999.0,0.3
2,1996,22,-1.8,Reading,EL,AA,PHI,75,345,314,38,86,14,3,3,28,17,9,26,44,.274,.330,.366,.697,115,5,1,3,1,2,anderma02,1999.0,0.3
3,1996,22,-0.3,Clearwater,FLOR,A+,PHI,60,277,257,37,70,10,3,2,22,26,1,14,18,.272,.315,.358,.673,92,4,2,4,0,1,anderma02,1999.0,0.3
4,1997,23,-0.8,Reading,EL,AA,PHI,137,615,553,88,147,18,6,10,62,27,15,42,77,.266,.328,.374,.703,207,8,10,9,1,1,anderma02,1999.0,0.3
5,1998,24,-2.3,Scranton/Wilkes-Barre,IL,AAA,PHI,136,620,575,104,176,32,14,16,86,24,12,28,77,.306,.343,.494,.837,284,11,7,5,5,1,anderma02,1999.0,0.3
0,1992,21,0.0,Bellingham,NORW,A-,SEA,51,194,166,28,43,7,2,5,30,8,1,22,36,.259,.340,.416,.756,69,4,1,0,5,0,widgech01,1997.0,0.321
1,1993,22,-0.7,Riverside,CALL,A+,SEA,97,389,360,44,95,28,2,9,58,5,4,19,64,.264,.303,.428,.731,154,8,3,3,4,0,widgech01,1997.0,0.321
2,1994,23,-0.9,Jacksonville,SOUL,AA,SEA,116,434,388,58,101,15,3,16,59,8,7,39,69,.260,.334,.438,.772,170,7,5,0,2,4,widgech01,1997.0,0.321
3,1995,24,-2.5,Tacoma,PCL,AAA,SEA,50,184,174,29,48,11,1,9,21,0,0,9,29,.276,.311,.506,.817,88,4,0,1,0,0,widgech01,1997.0,0.321
5,1996,25,-1.2,Tacoma,PCL,AAA,SEA,97,385,352,42,107,20,2,13,48,7,1,27,62,.304,.355,.483,.838,170,13,2,2,2,0,widgech01,1997.0,0.321
1,1986,21,-2.9,Jacksonville,SOUL,AA,MON,1,4,4,0,0,0,0,0,0,0,0,0,0,.000,.000,.000,.000,0,,0,0,0,0,husonje01,1990.0,0.296
2,1986,21,-0.9,Burlington,MIDW,A,MON,133,540,457,85,132,19,1,16,72,32,6,76,68,.289,.390,.440,.830,201,,2,2,3,4,husonje01,1990.0,0.296
3,1987,22,-0.2,West Palm Beach,FLOR,A,MON,131,520,455,54,130,15,4,1,53,33,9,50,30,.286,.352,.343,.695,156,,1,6,8,4,husonje01,1990.0,0.296
4,1988,23,-0.7,Jacksonville,SOUL,AA,MON,128,546,471,72,117,18,1,0,34,56,13,59,45,.248,.334,.291,.625,137,,3,10,3,3,husonje01,1990.0,0.296
6,1989,24,-2.2,Indianapolis,AA,AAA,MON,102,433,378,70,115,17,4,3,35,30,17,50,26,.304,.385,.394,.779,149,,1,2,2,1,husonje01,1990.0,0.296
0,1993,20,1.0,Giants,ARIZ,Rk,SFG,29,90,82,8,28,3,0,0,15,3,0,4,5,.341,.368,.378,.746,31,3,0,3,1,0,cruzde01,1997.0,0.272
1,1994,21,1.7,Giants,ARIZ,Rk,SFG,18,61,53,10,16,8,0,0,5,0,1,5,3,.302,.367,.453,.819,24,1,1,1,1,0,cruzde01,1997.0,0.272
3,1995,22,0.4,Burlington,MIDW,A,SFG,16,63,58,2,8,1,0,1,9,1,1,4,7,.138,.194,.207,.400,12,1,0,1,0,0,cruzde01,1997.0,0.272
4,1995,22,1.3,Bellingham,NORW,A-,SFG,62,245,223,32,66,17,0,3,28,6,3,19,21,.296,.348,.413,.761,92,5,0,1,2,3,cruzde01,1997.0,0.272
5,1996,23,1.4,Burlington,MIDW,A,SFG,127,563,517,72,152,27,2,9,64,12,5,35,49,.294,.342,.406,.748,210,20,4,4,3,3,cruzde01,1997.0,0.272
1,1989,20,-1.9,Quad Cities,MIDW,A,CAL,23,86,78,7,19,3,0,2,11,7,5,6,17,.244,.294,.359,.653,28,1,0,1,1,0,curtich01,1992.0,0.345
2,1989,20,0.6,Angels,ARIZ,Rk,CAL,32,141,122,30,37,4,4,3,20,17,2,14,20,.303,.379,.475,.854,58,,2,1,2,2,curtich01,1992.0,0.345
3,1990,21,-0.7,Quad Cities,MIDW,A,CAL,135,568,492,87,151,28,1,14,65,64,22,57,78,.307,.390,.453,.843,223,,12,4,3,3,curtich01,1992.0,0.345
4,1991,22,-3.8,Edmonton,PCL,AAA,CAL,115,493,431,81,136,28,7,9,61,46,11,51,56,.316,.389,.476,.864,205,10,3,4,4,1,curtich01,1992.0,0.345
0,1991,21,0.2,Watertown,NYPL,A-,CLE,14,62,52,3,11,2,0,0,5,0,0,8,7,.212,.339,.250,.589,13,3,2,0,0,0,perryhe01,1995.0,0.364
1,1992,22,-0.1,Kinston,CARL,A+,CLE,121,515,449,74,125,16,1,19,77,12,0,46,89,.278,.358,.445,.804,200,9,12,4,4,1,perryhe01,1995.0,0.364
2,1993,23,-0.6,Canton-Akron,EL,AA,CLE,89,385,327,52,88,21,1,9,55,7,4,37,47,.269,.364,.422,.786,138,5,15,0,6,2,perryhe01,1995.0,0.364
3,1994,24,-1.9,Charlotte,IL,AAA,CLE,102,426,376,67,123,20,4,13,70,9,4,41,55,.327,.397,.505,.902,190,10,5,0,4,7,perryhe01,1995.0,0.364
1,1993,20,-2.7,Modesto,CALL,A+,OAK,32,135,110,12,28,9,1,1,13,1,5,23,19,.255,.388,.382,.770,42,4,1,1,0,0,spiezsc01,1997.0,0.31
2,1993,20,-1.0,Southern Oregon,NORW,A-,OAK,31,141,125,32,41,10,2,3,19,0,1,16,18,.328,.404,.512,.916,64,1,0,0,0,0,spiezsc01,1997.0,0.31
3,1994,21,-1.6,Modesto,CALL,A+,OAK,127,560,453,84,127,32,5,14,68,5,0,88,72,.280,.399,.466,.864,211,15,7,3,9,4,spiezsc01,1997.0,0.31
4,1995,22,-2.0,Huntsville,SOUL,AA,OAK,141,615,528,78,149,33,8,13,86,10,3,67,78,.282,.359,.449,.808,237,10,4,2,14,2,spiezsc01,1997.0,0.31
5,1996,23,-3.2,Edmonton,PCL,AAA,OAK,140,591,523,87,137,30,4,20,91,6,5,56,66,.262,.335,.449,.784,235,7,4,3,5,6,spiezsc01,1997.0,0.31
0,1986,20,-0.3,Helena,PION,Rk,MIL,66,300,258,64,75,13,2,16,54,23,5,30,69,.291,.363,.543,.905,140,,2,5,5,1,vaughgr01,1990.0,0.325
1,1987,21,-0.9,Beloit,MIDW,A,MIL,139,608,492,120,150,31,6,33,105,36,9,102,115,.305,.425,.593,1.018,292,,5,3,6,2,vaughgr01,1990.0,0.325
2,1988,22,-1.9,El Paso,TL,AA,MIL,131,579,505,104,152,39,2,28,105,22,5,63,120,.301,.379,.552,.932,279,11,3,4,4,3,vaughgr01,1990.0,0.325
3,1989,23,-3.2,Denver,AA,AAA,MIL,110,452,387,74,107,17,5,26,92,20,3,62,94,.276,.376,.548,.923,212,,0,2,1,4,vaughgr01,1990.0,0.325
1,1988,20,-1.3,Asheville,SALL,A,HOU,31,129,115,13,29,7,1,2,14,2,2,12,17,.252,.333,.383,.716,44,,2,0,0,0,gonzalu01,1991.0,0.341
2,1988,20,-0.8,Auburn,NYPL,A-,HOU,39,176,157,32,49,10,3,5,27,2,0,12,19,.312,.354,.510,.864,80,,1,1,5,1,gonzalu01,1991.0,0.341
3,1989,21,-1.3,Osceola,FLOR,A,HOU,86,333,287,46,82,16,7,6,38,2,1,37,49,.286,.370,.453,.823,130,3,4,1,4,5,gonzalu01,1991.0,0.341
4,1990,22,-1.5,Columbus,SOUL,AA,HOU,138,568,495,86,131,30,6,24,89,27,9,54,100,.265,.337,.495,.832,245,,6,1,12,9,gonzalu01,1991.0,0.341
0,1993,18,-1.9,Burlington,APPY,Rk,CLE,40,119,97,11,18,3,0,1,5,1,1,18,21,.186,.316,.247,.564,24,1,1,2,1,2,sexsori01,1998.0,0.409
1,1994,19,-2.3,Columbus,SALL,A,CLE,130,544,488,88,133,25,2,14,77,7,3,37,87,.273,.338,.418,.756,204,5,14,0,5,2,sexsori01,1998.0,0.409
2,1995,20,-2.5,Kinston,CARL,A+,CLE,131,554,494,80,151,34,0,22,85,4,6,43,115,.306,.368,.508,.876,251,8,10,0,7,5,sexsori01,1998.0,0.409
3,1996,21,-2.8,Canton-Akron,EL,AA,CLE,133,568,518,85,143,33,3,16,76,2,1,39,118,.276,.331,.444,.775,230,13,6,0,5,5,sexsori01,1998.0,0.409
4,1997,22,-4.0,Buffalo,AA,AAA,CLE,115,472,434,57,113,20,2,31,88,5,1,27,87,.260,.307,.530,.837,230,11,4,3,4,1,sexsori01,1998.0,0.409
